"","ENSEMBL","SYMBOL","ENTREZID"
"477","FBgn0267217","lncRNA:CR45657","19835495"
"478","FBgn0266400","lncRNA:CR45040","19834808"
"479","FBgn0039403","Sld5","43166"
"480","FBgn0039406","RpL34a","43169"
"481","FBgn0039439","TwdlK","43205"
"482","FBgn0262379","mir-1012","12798273"
"483","FBgn0002838","ms(3)K81","43232"
"484","FBgn0051071","tRNA:Gln-TTG-1-2","3772562"
"485","FBgn0284229","CG46313","30522402"
"486","FBgn0005696","PolA2","43278"
"487","FBgn0039503","CG14262","43286"
"488","FBgn0039505","CG5934","43289"
"489","FBgn0039557","CG12259","43347"
"490","FBgn0267776","asRNA:CR46107","26067424"
"491","FBgn0062442","Cisd2","43459"
"492","FBgn0264792","lncRNA:CR44022","14462526"
"493","FBgn0039666","Diedel","43474"
"494","FBgn0039686","CG15506","43498"
"495","FBgn0042213","CG18731","59246"
"496","FBgn0039697","Etfb","43515"
"497","FBgn0039711","CG7824","43530"
"498","FBgn0039713","RpS8","43532"
"499","FBgn0260760","CG42558","8674024"
"500","FBgn0001280","janA","43569"
"501","FBgn0039742","CG15528","43575"
"502","FBgn0085346","Rpp14a","5740224"
"503","FBgn0039760","CG9682","43602"
"504","FBgn0039764","CG15535","43608"
"505","FBgn0039765","mRpS18C","43609"
"506","FBgn0054041","CG34041","3885583"
"507","FBgn0267112","lncRNA:CR45552","19835715"
"508","FBgn0265203","lncRNA:CR44263","19835828"
"509","FBgn0266268","FeCH","43757"
"510","FBgn0266617","asRNA:CR45124","19834809"
"511","FBgn0025740","PlexB","43766"
"512","FBgn0265633","lncRNA:CR44440","19835163"
"513","FBgn0052000","anne","317815"
"514","FBgn0052006","CG32006","317817"
"515","FBgn0053978","CG33978","3885646"
"516","FBgn0039900","Syt7","43783"
"517","FBgn0026777","Rad23","43785"
"518","FBgn0039902","Zip102B","43786"
"519","FBgn0052850","Rnf11","318246"
"520","FBgn0016126","CaMKI","43792"
"521","FBgn0040324","Ephrin","43799"
"522","FBgn0039911","CG1909","43800"
"523","FBgn0025936","Eph","43803"
"524","FBgn0262302","mir-954","12798287"
"525","FBgn0264821","asRNA:CR44029","14462359"
"526","FBgn0002521","pho","43819"
"527","FBgn0040373","CG3038","30970"
"528","FBgn0259722","CG42376","7354420"
"529","FBgn0000316","cin","30973"
"530","FBgn0029518","CG13376","3346142"
"531","FBgn0262811","CG43182","12798293"
"532","FBgn0265966","lncRNA:CR44753","19835875"
"533","FBgn0266196","asRNA:CR44891","19836009"
"534","FBgn0029529","CG13365","31005"
"535","FBgn0083027","snoRNA:Psi18S-531","5740514"
"536","FBgn0040343","CG3713","50365"
"537","FBgn0040345","CG3708","31039"
"538","FBgn0052814","CG32814","318223"
"539","FBgn0052811","CG32811","318222"
"540","FBgn0029573","CG14770","31085"
"541","FBgn0027791","O-fut2","31098"
"542","FBgn0260986","mei-38","31104"
"543","FBgn0044508","snoRNA:M","3772672"
"544","FBgn0029588","CR14798","31126"
"545","FBgn0029589","CG14810","31131"
"546","FBgn0023515","Gcna","31139"
"547","FBgn0026873","MED18","31140"
"548","FBgn0026089","CG14817","31145"
"549","FBgn0026088","CG14818","31147"
"550","FBgn0267591","asRNA:CR45929","26067257"
"551","FBgn0265531","asRNA:CR44381","19835579"
"552","FBgn0029596","CG14054","31172"
"553","FBgn0025629","CG4045","31176"
"554","FBgn0025839","ND-B14.5A","31190"
"555","FBgn0040899","CG17776","50373"
"556","FBgn0029629","eIF3g1","31243"
"557","FBgn0024980","Syx4","31269"
"558","FBgn0029656","CG10793","31308"
"559","FBgn0266180","lncRNA:CR44886","19835523"
"560","FBgn0052493","tRNA:Gln-TTG-2-1","3772230"
"561","FBgn0029657","CG12535","31311"
"562","FBgn0029660","CG10801","31314"
"563","FBgn0266429","AstA-R1","44126"
"564","FBgn0029686","Glos","31348"
"565","FBgn0029689","CG6428","31351"
"566","FBgn0262980","CG43288","12798106"
"567","FBgn0040906","CG15579","50380"
"568","FBgn0029714","CG3527","31387"
"569","FBgn0029715","CG11444","31388"
"570","FBgn0025612","CG3062","31396"
"571","FBgn0029718","mRpL30","31398"
"572","FBgn0028325","Pdha","31406"
"573","FBgn0267442","lncRNA:CR45792","26067123"
"574","FBgn0266098","rg","44531"
"575","FBgn0029746","CG15465","31434"
"576","FBgn0029752","TrxT","31443"
"577","FBgn0267073","lncRNA:CR45517","19834818"
"578","FBgn0029822","CG12236","31523"
"579","FBgn0029824","CG3726","31525"
"580","FBgn0029840","raptor","31543"
"581","FBgn0028685","Rpt4","31567"
"582","FBgn0029860","CG15891","3772383"
"583","FBgn0053666","CG33666","3771730"
"584","FBgn0263507","lncRNA:CR43496","12797941"
"585","FBgn0029502","Coq7","44007"
"586","FBgn0029907","Atx-1","31624"
"587","FBgn0267088","lncRNA:CR45532","19835991"
"588","FBgn0261848","CG42780","10178796"
"589","FBgn0261616","CG42705","10178898"
"590","FBgn0262828","lncRNA:CR43199","19835479"
"591","FBgn0265693","lncRNA:CR44500","19835808"
"592","FBgn0267090","lncRNA:CR45534","19834839"
"593","FBgn0265695","lncRNA:CR44502","19835982"
"594","FBgn0029952","CG12689","31676"
"595","FBgn0267226","lncRNA:CR45666","19835578"
"596","FBgn0082924","snoRNA:Or-aca2","5740435"
"597","FBgn0004404","RpS14a","47218"
"598","FBgn0004404","RpS14b","47219"
"599","FBgn0029987","CG15330","31715"
"600","FBgn0030006","CG17982","31739"
"601","FBgn0030048","CG12112","31794"
"602","FBgn0027864","Ogg1","31806"
"603","FBgn0265701","lncRNA:CR44508","19835956"
"604","FBgn0030063","CG1789","31812"
"605","FBgn0030067","Rbm13","31818"
"606","FBgn0030071","CG12661","31822"
"607","FBgn0030078","CG10970","31830"
"608","FBgn0052707","APC4","31835"
"609","FBgn0040467","Dlip1","53580"
"610","FBgn0040931","CG9034","50405"
"611","FBgn0265725","CG44532","19835861"
"612","FBgn0030100","CG12106","31856"
"613","FBgn0030103","Obp8a","31860"
"614","FBgn0010269","Dsor1","31872"
"615","FBgn0054026","CG34026","3885569"
"616","FBgn0030137","CG15317","31898"
"617","FBgn0267103","lncRNA:CR45543","19836056"
"618","FBgn0264786","lncRNA:CR44016","14462391"
"619","FBgn0263509","lncRNA:CR43498","12797960"
"620","FBgn0266431","CG45061","19835998"
"621","FBgn0030156","CG15247","31919"
"622","FBgn0030158","CG9686","31921"
"623","FBgn0030191","CG15306","31961"
"624","FBgn0052683","CG32683","31970"
"625","FBgn0030239","Pgls","32013"
"626","FBgn0267176","lncRNA:CR45616","19834946"
"627","FBgn0052667","ssp7","318146"
"628","FBgn0030272","CG15201","32053"
"629","FBgn0265986","lncRNA:CR44765","19835111"
"630","FBgn0001491","l(1)10Bb","32069"
"631","FBgn0262335","mir-2492","12797961"
"632","FBgn0027259","Kmn1","32102"
